event_id,event_type,professional_id,professional_id_anonymized,created_at,meta_data
15,created_account,1593438,15,2020-01-01 21:39:43,
31,created_account,1593672,31,2020-01-02 12:44:09,
47,created_account,1593835,47,2020-01-02 16:23:38,
63,created_account,1593934,63,2020-01-02 19:13:31,
79,created_account,1594106,79,2020-01-03 09:50:25,
95,created_account,1594312,95,2020-01-03 14:00:03,
111,created_account,1594515,111,2020-01-03 20:01:08,
127,created_account,1594857,127,2020-01-04 15:44:25,
143,created_account,1595117,143,2020-01-05 10:16:40,
159,created_account,1595535,159,2020-01-05 21:31:10,
175,created_account,1595738,175,2020-01-06 11:40:03,
191,created_account,1595964,191,2020-01-06 16:00:55,
207,created_account,1596130,207,2020-01-06 20:13:46,
223,created_account,1596282,223,2020-01-07 09:04:51,
239,created_account,1596460,239,2020-01-07 12:59:16,
255,created_account,1596577,255,2020-01-07 15:18:01,
271,created_account,1596718,271,2020-01-07 19:01:02,
287,created_account,1596878,287,2020-01-07 22:13:32,
303,created_account,1597047,303,2020-01-08 11:09:12,
319,created_account,1597337,319,2020-01-08 18:11:14,
335,created_account,1597558,335,2020-01-09 08:44:12,
351,created_account,1597724,351,2020-01-09 12:58:56,
367,created_account,1597886,367,2020-01-09 16:34:26,
383,created_account,1598075,383,2020-01-09 21:27:55,
399,created_account,1598325,399,2020-01-10 13:31:47,
415,created_account,1598532,415,2020-01-10 21:59:09,
431,created_account,1598837,431,2020-01-11 15:25:53,
447,created_account,1599006,447,2020-01-11 22:01:37,
463,created_account,1599165,463,2020-01-12 11:48:15,
479,created_account,1599414,479,2020-01-12 16:37:27,
495,created_account,1599629,495,2020-01-12 21:30:13,
511,created_account,1599753,511,2020-01-13 09:11:42,
527,created_account,1599906,527,2020-01-13 12:08:23,
543,created_account,1600066,543,2020-01-13 15:05:12,
559,created_account,1600308,559,2020-01-13 20:48:15,
575,created_account,1600430,575,2020-01-14 08:40:04,
591,created_account,1600598,591,2020-01-14 12:05:12,
607,created_account,1600751,607,2020-01-14 15:08:48,
623,created_account,1600908,623,2020-01-14 18:50:38,
639,created_account,1601110,639,2020-01-15 08:16:49,
655,created_account,1601273,655,2020-01-15 11:42:05,
671,created_account,1601494,671,2020-01-15 15:49:40,
687,created_account,1601706,687,2020-01-15 21:11:55,
703,created_account,1601875,703,2020-01-16 09:50:36,
719,created_account,1602012,719,2020-01-16 13:13:56,
735,created_account,1602159,735,2020-01-16 17:25:01,
751,created_account,1602276,751,2020-01-16 20:32:00,
767,created_account,1602428,767,2020-01-17 09:15:21,
783,created_account,1602597,783,2020-01-17 13:22:12,
799,created_account,1602778,799,2020-01-17 19:46:33,
815,created_account,1603068,815,2020-01-18 12:43:01,
831,created_account,1603426,831,2020-01-19 08:52:47,
847,created_account,1603782,847,2020-01-19 16:57:29,
863,created_account,1603957,863,2020-01-19 20:53:39,
879,created_account,1604066,879,2020-01-20 09:03:28,
895,created_account,1604322,895,2020-01-20 13:17:06,
911,created_account,1604497,911,2020-01-20 16:07:26,
927,created_account,1604622,927,2020-01-20 18:59:08,
943,created_account,1604790,943,2020-01-20 23:09:08,
959,created_account,1604946,959,2020-01-21 10:43:17,
975,created_account,1605112,975,2020-01-21 14:06:11,
991,created_account,1605301,991,2020-01-21 18:34:49,
1007,created_account,1605499,1007,2020-01-22 06:58:16,
1023,created_account,1605653,1023,2020-01-22 10:44:38,
1039,created_account,1605870,1039,2020-01-22 14:51:06,
1055,created_account,1605964,1055,2020-01-22 17:16:29,
1071,created_account,1606101,1071,2020-01-22 20:19:39,
1087,created_account,1606210,1087,2020-01-23 07:11:42,
1103,created_account,1606351,1103,2020-01-23 10:53:50,
1119,created_account,1606502,1119,2020-01-23 15:07:08,
1135,created_account,1606651,1135,2020-01-23 19:16:57,
1151,created_account,1606825,1151,2020-01-24 07:55:22,
1167,created_account,1607055,1167,2020-01-24 13:16:40,
1183,created_account,1607202,1183,2020-01-24 17:29:26,
1199,created_account,1607335,1199,2020-01-24 23:03:46,
1215,created_account,1607619,1215,2020-01-25 13:48:42,
1231,created_account,1607896,1231,2020-01-26 01:02:29,
1247,created_account,1608161,1247,2020-01-26 13:47:09,
1263,created_account,1608497,1263,2020-01-26 21:17:30,
1279,created_account,1608624,1279,2020-01-27 08:45:35,
1295,created_account,1608792,1295,2020-01-27 11:43:35,
1311,created_account,1609021,1311,2020-01-27 15:33:03,
1327,created_account,1609132,1327,2020-01-27 18:12:55,
1343,created_account,1609348,1343,2020-01-28 06:19:39,
1359,created_account,1609510,1359,2020-01-28 11:13:08,
1375,created_account,1609724,1375,2020-01-28 15:09:29,
1391,created_account,1609873,1391,2020-01-28 18:55:57,
1407,created_account,1610121,1407,2020-01-29 09:43:57,
1423,created_account,1610300,1423,2020-01-29 13:59:53,
1439,created_account,1610491,1439,2020-01-29 18:38:44,
1455,created_account,1610650,1455,2020-01-30 01:31:18,
1471,created_account,1610965,1471,2020-01-30 15:03:32,
1487,created_account,1611110,1487,2020-01-30 19:14:57,
12,created_account,1593408,12,2020-01-01 20:16:59,
28,created_account,1593599,28,2020-01-02 11:18:52,
44,created_account,1593817,44,2020-01-02 15:50:06,
60,created_account,1593908,60,2020-01-02 18:27:08,
76,created_account,1594090,76,2020-01-03 09:23:13,
92,created_account,1594279,92,2020-01-03 13:27:09,
108,created_account,1594487,108,2020-01-03 19:10:33,
124,created_account,1594780,124,2020-01-04 13:13:38,
140,created_account,1595086,140,2020-01-05 09:10:58,
156,created_account,1595520,156,2020-01-05 21:06:21,
172,created_account,1595702,172,2020-01-06 10:54:08,
188,created_account,1595946,188,2020-01-06 15:40:16,
204,created_account,1596102,204,2020-01-06 19:47:32,
220,created_account,1596261,220,2020-01-07 08:20:27,
236,created_account,1596435,236,2020-01-07 12:31:55,
252,created_account,1596552,252,2020-01-07 14:46:03,
268,created_account,1596701,268,2020-01-07 18:40:51,
284,created_account,1596861,284,2020-01-07 21:36:51,
300,created_account,1596994,300,2020-01-08 09:46:17,
316,created_account,1597298,316,2020-01-08 17:16:50,
332,created_account,1597542,332,2020-01-09 08:10:57,
348,created_account,1597676,348,2020-01-09 12:06:07,
364,created_account,1597865,364,2020-01-09 16:00:43,
380,created_account,1598059,380,2020-01-09 21:07:24,
396,created_account,1598305,396,2020-01-10 13:02:12,
412,created_account,1598486,412,2020-01-10 19:27:53,
428,created_account,1598737,428,2020-01-11 13:07:12,
444,created_account,1598984,444,2020-01-11 21:18:53,
460,created_account,1599140,460,2020-01-12 11:06:34,
476,created_account,1599395,476,2020-01-12 16:15:29,
492,created_account,1599621,492,2020-01-12 21:12:01,
508,created_account,1599725,508,2020-01-13 08:26:05,
524,created_account,1599894,524,2020-01-13 11:48:17,
540,created_account,1600032,540,2020-01-13 14:29:07,
556,created_account,1600297,556,2020-01-13 20:40:53,
572,created_account,1600403,572,2020-01-14 07:47:56,
588,created_account,1600585,588,2020-01-14 11:53:38,
604,created_account,1600737,604,2020-01-14 14:51:51,
620,created_account,1600893,620,2020-01-14 18:26:30,
636,created_account,1601073,636,2020-01-15 05:24:37,
652,created_account,1601234,652,2020-01-15 11:00:45,
668,created_account,1601465,668,2020-01-15 15:24:10,
684,created_account,1601647,684,2020-01-15 19:41:12,
700,created_account,1601842,700,2020-01-16 09:09:48,
716,created_account,1601985,716,2020-01-16 12:41:21,
732,created_account,1602111,732,2020-01-16 15:39:47,
748,created_account,1602252,748,2020-01-16 20:04:59,
764,created_account,1602378,764,2020-01-17 07:50:07,
780,created_account,1602587,780,2020-01-17 13:04:53,
796,created_account,1602747,796,2020-01-17 18:42:21,
812,created_account,1602966,812,2020-01-18 10:21:16,
828,created_account,1603367,828,2020-01-18 22:57:19,
844,created_account,1603717,844,2020-01-19 15:23:32,
860,created_account,1603914,860,2020-01-19 19:55:53,
876,created_account,1604047,876,2020-01-20 08:22:26,
11,created_account,1593382,11,2020-01-01 18:47:26,
27,created_account,1593562,27,2020-01-02 10:33:59,
43,created_account,1593808,43,2020-01-02 15:39:32,
59,created_account,1593904,59,2020-01-02 18:19:23,
75,created_account,1594079,75,2020-01-03 08:56:51,
91,created_account,1594273,91,2020-01-03 13:17:56,
107,created_account,1594480,107,2020-01-03 19:00:05,
123,created_account,1594778,123,2020-01-04 13:08:52,
139,created_account,1595074,139,2020-01-05 08:44:32,
155,created_account,1595515,155,2020-01-05 20:55:58,
171,created_account,1595689,171,2020-01-06 10:33:08,
187,created_account,1595931,187,2020-01-06 15:26:39,
203,created_account,1596085,203,2020-01-06 19:34:14,
219,created_account,1596259,219,2020-01-07 08:14:00,
235,created_account,1596425,235,2020-01-07 12:20:24,
251,created_account,1596551,251,2020-01-07 14:45:49,
267,created_account,1596684,267,2020-01-07 18:10:13,
283,created_account,1596856,283,2020-01-07 21:31:00,
299,created_account,1596992,299,2020-01-08 09:43:44,
315,created_account,1597286,315,2020-01-08 16:50:01,
331,created_account,1597540,331,2020-01-09 08:08:56,
347,created_account,1597675,347,2020-01-09 12:04:19,
363,created_account,1597854,363,2020-01-09 15:48:14,
379,created_account,1598058,379,2020-01-09 21:07:16,
395,created_account,1598299,395,2020-01-10 12:47:04,
411,created_account,1598471,411,2020-01-10 19:06:30,
427,created_account,1598718,427,2020-01-11 12:42:07,
443,created_account,1598974,443,2020-01-11 20:54:29,
459,created_account,1599126,459,2020-01-12 10:30:07,
475,created_account,1599392,475,2020-01-12 16:13:59,
491,created_account,1599577,491,2020-01-12 20:16:18,
507,created_account,1599724,507,2020-01-13 08:25:54,
523,created_account,1599891,523,2020-01-13 11:40:19,
539,created_account,1600031,539,2020-01-13 14:27:39,
555,created_account,1600254,555,2020-01-13 19:47:55,
571,created_account,1600399,571,2020-01-14 07:16:56,
587,created_account,1600568,587,2020-01-14 11:38:38,
603,created_account,1600735,603,2020-01-14 14:49:16,
619,created_account,1600853,619,2020-01-14 17:26:58,
635,created_account,1601069,635,2020-01-15 05:01:28,
651,created_account,1601217,651,2020-01-15 10:36:18,
667,created_account,1601454,667,2020-01-15 15:09:19,
683,created_account,1601641,683,2020-01-15 19:32:09,
699,created_account,1601841,699,2020-01-16 09:09:34,
715,created_account,1601983,715,2020-01-16 12:39:33,
731,created_account,1602109,731,2020-01-16 15:37:20,
747,created_account,1602250,747,2020-01-16 20:00:41,
763,created_account,1602361,763,2020-01-17 06:48:57,
779,created_account,1602582,779,2020-01-17 12:59:11,
795,created_account,1602746,795,2020-01-17 18:40:38,
811,created_account,1602929,811,2020-01-18 09:29:26,
827,created_account,1603360,827,2020-01-18 22:30:06,
843,created_account,1603706,843,2020-01-19 15:12:01,
859,created_account,1603913,859,2020-01-19 19:55:36,
875,created_account,1604027,875,2020-01-20 07:34:08,
891,created_account,1604295,891,2020-01-20 12:56:10,
907,created_account,1604437,907,2020-01-20 14:53:51,
923,created_account,1604595,923,2020-01-20 18:18:12,
939,created_account,1604723,939,2020-01-20 20:41:51,
955,created_account,1604898,955,2020-01-21 09:33:38,
971,created_account,1605058,971,2020-01-21 12:51:14,
987,created_account,1605249,987,2020-01-21 17:37:15,
1003,created_account,1605448,1003,2020-01-21 21:32:58,
1019,created_account,1605622,1019,2020-01-22 10:18:43,
1035,created_account,1605789,1035,2020-01-22 13:07:04,
1051,created_account,1605941,1051,2020-01-22 16:22:27,
